Year,sea_total,sea_extreme,sea_ratio,land_total,land_extreme,land_ratio,original_columns,sea_columns,land_columns,unmatched_columns
2008,17166864,170268,0.009918410258274312,82781514,821221,0.00992034284369334,313013,46904,226179,39930
2009,17119960,176295,0.010297629200068225,82555335,896889,0.010864094973389667,313013,46904,226179,39930
2010,17119960,199542,0.011655517886724035,82555335,896587,0.010860436820951669,313013,46904,226179,39930
2011,17119960,164267,0.009595057465087535,82555335,833496,0.010096210014773727,313013,46904,226179,39930
2012,17166864,183781,0.010705566258345147,82781514,967708,0.011689904584252953,313013,46904,226179,39930
2013,17119960,159492,0.009316143262016968,82555335,860468,0.010422924211984604,313013,46904,226179,39930
2014,17119960,163826,0.009569298059107615,82555335,801194,0.009704933060958447,313013,46904,226179,39930
2015,17119960,166290,0.00971322362902717,82555335,816582,0.009891329252070747,313013,46904,226179,39930
2016,17166864,190046,0.011070513519533911,82781514,934141,0.011284415503683589,313013,46904,226179,39930
2017,17119960,171354,0.010009018712660543,82555335,833260,0.01009335132611357,313013,46904,226179,39930
2018,17119960,166403,0.009719824111738579,82555335,879540,0.010653945017605464,313013,46904,226179,39930
2019,17119960,168433,0.009838399155138212,82555335,825641,0.010001061712123147,313013,46904,226179,39930
2020,17166864,171308,0.009978992086149224,82781514,814124,0.00983461114277277,313013,46904,226179,39930
2021,17119960,171524,0.01001894864240337,82555335,864530,0.010472127573584433,313013,46904,226179,39930
2022,17119960,161204,0.009416143495662372,82555335,774491,0.009381477284296648,313013,46904,226179,39930
2023,17119960,184798,0.010794300921263834,82555335,880658,0.010667487449478583,313013,46904,226179,39930
2024,17166864,173490,0.01010609742117139,82781514,818738,0.009890348224363231,313013,46904,226179,39930
